,mgm4538328.3,mgm4538330.3,mgm4538353.3,mgm4538356.3,mgm4538370.3,mgm4538377.3,mgm4538394.3,mgm4538413.3,mgm4538416.3,mgm4538429.3,mgm4538432.3,mgm4538433.3,mgm4538434.3,mgm4538451.3,mgm4538453.3,mgm4538456.3,mgm4538460.3,mgm4538469.3,mgm4538476.3,mgm4538478.3,mgm4538483.3,mgm4538484.3,mgm4538489.3,mgm4538494.3,mgm4538495.3,mgm4538499.3,mgm4538502.3,mgm4538505.3,mgm4538506.3,mgm4538511.3,mgm4538512.3,mgm4538326.3,mgm4538336.3,mgm4538347.3,mgm4538354.3,mgm4538357.3,mgm4538359.3,mgm4538368.3,mgm4538371.3,mgm4538379.3,mgm4538389.3,mgm4538408.3,mgm4538410.3,mgm4538412.3,mgm4538417.3,mgm4538431.3,mgm4538444.3,mgm4538449.3,mgm4538452.3,mgm4538465.3,mgm4538475.3,mgm4538480.3,mgm4538481.3,mgm4538482.3,mgm4538485.3,mgm4538490.3,mgm4538491.3,mgm4538492.3,mgm4538493.3,mgm4538496.3,mgm4538498.3,mgm4538500.3,mgm4538501.3,mgm4538503.3,mgm4538504.3,mgm4538507.3,mgm4538508.3,mgm4538510.3,mgm4538514.3,mgm4538515.3
Bacteroides vulgatus,18052.0,27882.0,6685.0,75.0,21595.0,43884.0,22306.0,37085.0,30556.0,19161.0,321.0,5141.0,6901.0,17408.0,2159.0,10410.0,7995.0,15571.0,782.0,30072.0,14009.0,6988.0,17903.0,8683.0,30987.0,5605.0,21642.0,18620.0,12380.0,11261.0,14869.0,29130.0,13468.0,21091.0,16575.0,438.0,6632.0,23149.0,882.0,9141.0,24083.0,10345.0,18497.0,27103.0,24591.0,7010.0,7964.0,26569.0,19850.0,34246.0,18485.0,28575.0,24764.0,9687.0,19807.0,19189.0,20711.0,20637.0,15952.0,17691.0,9863.0,3653.0,5737.0,17029.0,36603.0,39346.0,1403.0,7237.0,12221.0,38393.0
Faecalibacterium prausnitzii,616.0,3473.0,9526.0,4929.0,25935.0,13059.0,7528.0,3215.0,5941.0,9696.0,3114.0,6574.0,8507.0,9996.0,6957.0,3512.0,3070.0,2466.0,3016.0,9605.0,4836.0,9925.0,11333.0,647.0,17463.0,2217.0,12235.0,696.0,2320.0,1044.0,4393.0,478.0,1876.0,17115.0,14225.0,8892.0,4330.0,1295.0,4361.0,1083.0,2046.0,6701.0,4065.0,8434.0,1598.0,648.0,614.0,863.0,5634.0,2480.0,6523.0,2310.0,4593.0,1492.0,919.0,6391.0,6348.0,696.0,655.0,2530.0,1872.0,5152.0,7744.0,1853.0,4036.0,3415.0,3125.0,4935.0,8236.0,7829.0
Eubacterium rectale,1445.0,1837.0,4669.0,2437.0,4404.0,6027.0,1394.0,6260.0,2239.0,3047.0,2598.0,2234.0,2445.0,3218.0,698.0,475.0,4433.0,1240.0,2811.0,4319.0,4364.0,4285.0,1260.0,4988.0,5425.0,6019.0,2050.0,919.0,1017.0,3477.0,616.0,178.0,54.0,2160.0,515.0,5185.0,471.0,87.0,3298.0,2813.0,661.0,859.0,177.0,384.0,218.0,2410.0,794.0,17.0,1116.0,163.0,2357.0,291.0,529.0,4295.0,742.0,4190.0,3323.0,259.0,30.0,940.0,232.0,1478.0,1976.0,373.0,2188.0,1285.0,2397.0,1634.0,1500.0,2087.0
Bacteroides thetaiotaomicron,1635.0,566.0,78.0,46.0,319.0,638.0,119.0,22.0,2515.0,3986.0,35.0,535.0,543.0,641.0,229.0,454.0,1778.0,1374.0,80.0,29.0,89.0,1021.0,1.0,2431.0,3282.0,975.0,14.0,4548.0,676.0,1090.0,628.0,1659.0,3411.0,3702.0,965.0,2.0,571.0,593.0,82.0,942.0,720.0,1238.0,307.0,59.0,1329.0,1413.0,814.0,8831.0,6.0,2696.0,1105.0,711.0,300.0,814.0,101.0,506.0,684.0,525.0,2203.0,1088.0,6863.0,424.0,356.0,2393.0,197.0,1215.0,1175.0,0.0,3903.0,919.0
Alistipes finegoldii,35.0,1165.0,69.0,35.0,98.0,3188.0,1593.0,235.0,6987.0,13598.0,456.0,5253.0,8613.0,2832.0,5547.0,1886.0,2125.0,1061.0,482.0,669.0,145.0,7805.0,599.0,2347.0,14150.0,1854.0,754.0,10.0,4432.0,1529.0,2579.0,3645.0,4895.0,7140.0,7787.0,161.0,3188.0,590.0,1082.0,2358.0,3215.0,2558.0,9484.0,10757.0,7529.0,856.0,1118.0,869.0,596.0,2934.0,1965.0,8279.0,6598.0,1838.0,4651.0,2225.0,2209.0,553.0,1538.0,328.0,6919.0,3535.0,3995.0,559.0,2974.0,2930.0,1559.0,304.0,9432.0,4406.0
Bacteroides acidifaciens,557.0,245.0,99.0,55.0,745.0,1482.0,5115.0,898.0,4229.0,5785.0,29.0,312.0,2540.0,405.0,158.0,360.0,1489.0,417.0,205.0,2179.0,138.0,3993.0,11964.0,4524.0,14323.0,2236.0,4564.0,1287.0,2115.0,6124.0,320.0,3181.0,813.0,5100.0,525.0,131.0,581.0,4247.0,364.0,277.0,1435.0,2056.0,19.0,926.0,288.0,2846.0,53.0,2976.0,3776.0,58.0,773.0,1221.0,233.0,2246.0,1019.0,3794.0,212.0,1417.0,252.0,4177.0,20.0,3665.0,1178.0,8014.0,560.0,106.0,300.0,3950.0,258.0,1297.0
uncultured bacterium,934.0,1050.0,2135.0,995.0,2583.0,7253.0,1990.0,3417.0,4008.0,3293.0,623.0,1294.0,1810.0,1682.0,768.0,1284.0,11585.0,5626.0,1523.0,2647.0,2172.0,3102.0,2926.0,5214.0,7763.0,6535.0,4208.0,3051.0,1768.0,4526.0,3126.0,6580.0,2900.0,4735.0,5078.0,2634.0,692.0,5941.0,2010.0,2213.0,5472.0,1594.0,9657.0,7444.0,6447.0,5226.0,1675.0,5780.0,3964.0,1302.0,3857.0,11143.0,9092.0,2647.0,6471.0,2573.0,8289.0,8264.0,4324.0,6656.0,29070.0,989.0,1086.0,11006.0,2573.0,2545.0,1645.0,1615.0,1431.0,3805.0
Bacteroides uniformis,6605.0,2282.0,542.0,18.0,1294.0,1355.0,964.0,2129.0,402.0,5360.0,123.0,5769.0,7948.0,1416.0,3652.0,1371.0,2452.0,4167.0,563.0,1622.0,487.0,9789.0,1832.0,312.0,553.0,7153.0,15969.0,2383.0,150.0,1937.0,1009.0,1429.0,259.0,2891.0,912.0,85.0,1970.0,2577.0,427.0,2329.0,739.0,220.0,1198.0,2130.0,1174.0,176.0,531.0,3894.0,36188.0,737.0,2413.0,112.0,910.0,2831.0,1545.0,17702.0,3452.0,599.0,2164.0,1509.0,1315.0,1290.0,5719.0,1502.0,1546.0,2338.0,498.0,10425.0,5007.0,983.0
Blautia sp. Ser8,840.0,1194.0,3192.0,845.0,3884.0,2772.0,629.0,6180.0,1262.0,1532.0,488.0,682.0,1157.0,1594.0,1425.0,882.0,1963.0,590.0,305.0,2238.0,2122.0,1465.0,3403.0,1537.0,4163.0,1792.0,4866.0,1431.0,804.0,1190.0,1136.0,1011.0,981.0,2393.0,2888.0,2242.0,606.0,1896.0,919.0,781.0,834.0,662.0,2353.0,2293.0,673.0,1094.0,645.0,749.0,2696.0,639.0,1174.0,961.0,1699.0,2160.0,2946.0,1456.0,1973.0,2310.0,833.0,2284.0,1014.0,888.0,1360.0,1620.0,1420.0,699.0,956.0,1472.0,1239.0,1770.0
Bacteroides fragilis,33.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,319.0,0.0,1.0,14.0,0.0,0.0,0.0,67.0,585.0,1.0,95.0,0.0,0.0,0.0,0.0,272.0,0.0,11.0,93.0,195.0,0.0,0.0,435.0,16.0,365.0,0.0,10.0,5.0,1935.0,0.0,20.0,0.0,184.0,147.0,0.0,154.0,0.0,213.0,660.0,0.0,143.0,4.0,0.0,131.0,15.0,234.0,0.0,0.0,0.0,688.0,89.0,0.0,0.0,11.0,51.0,0.0,1.0,3.0,0.0,0.0,501.0
