,mgm4538190.3,mgm4538200.3,mgm4538206.3,mgm4538209.3,mgm4538217.3,mgm4538220.3,mgm4538228.3,mgm4538232.3,mgm4538234.3,mgm4538238.3,mgm4538253.3,mgm4538260.3,mgm4538263.3,mgm4538265.3,mgm4538268.3,mgm4538269.3,mgm4538271.3,mgm4538273.3,mgm4538275.3,mgm4538287.3,mgm4538288.3,mgm4538290.3,mgm4538292.3,mgm4538293.3,mgm4538294.3,mgm4538303.3,mgm4538306.3,mgm4538317.3,mgm4538318.3,mgm4538196.3,mgm4538199.3,mgm4538201.3,mgm4538202.3,mgm4538203.3,mgm4538204.3,mgm4538205.3,mgm4538207.3,mgm4538208.3,mgm4538210.3,mgm4538211.3,mgm4538212.3,mgm4538213.3,mgm4538218.3,mgm4538224.3,mgm4538226.3,mgm4538227.3,mgm4538230.3,mgm4538233.3,mgm4538235.3,mgm4538243.3,mgm4538251.3,mgm4538254.3,mgm4538255.3,mgm4538256.3,mgm4538257.3,mgm4538258.3,mgm4538259.3,mgm4538264.3,mgm4538266.3,mgm4538267.3,mgm4538274.3,mgm4538276.3,mgm4538285.3,mgm4538289.3,mgm4538295.3,mgm4538300.3,mgm4538308.3,mgm4538310.3,mgm4538313.3,mgm4538322.3,mgm4538324.3
Bacteroides vulgatus,7789.0,5049.0,6226.0,68.0,8545.0,1677.0,11.0,3926.0,2779.0,4513.0,5034.0,1101.0,3248.0,5253.0,2444.0,114.0,5119.0,9377.0,243.0,7216.0,9630.0,7734.0,4381.0,8637.0,9949.0,1443.0,2009.0,1843.0,3570.0,3898.0,2753.0,4155.0,3540.0,7276.0,767.0,3256.0,6220.0,8757.0,1232.0,58.0,616.0,6144.0,7114.0,6684.0,1217.0,87.0,4410.0,3504.0,46.0,20627.0,12929.0,9582.0,4668.0,7853.0,63.0,5563.0,10052.0,2680.0,6548.0,3444.0,3920.0,4655.0,2854.0,4091.0,5489.0,77.0,880.0,5700.0,3082.0,3401.0,4443.0
Faecalibacterium prausnitzii,2908.0,409.0,2693.0,1284.0,3774.0,1347.0,193.0,230.0,2531.0,696.0,3448.0,1758.0,2099.0,670.0,2405.0,1977.0,439.0,965.0,1127.0,735.0,1057.0,2569.0,1005.0,1113.0,2460.0,146.0,1007.0,766.0,350.0,2922.0,1545.0,1008.0,2385.0,2983.0,378.0,1312.0,2159.0,2541.0,669.0,1095.0,704.0,1673.0,2121.0,1454.0,379.0,1280.0,1941.0,455.0,683.0,4019.0,5187.0,2050.0,1647.0,1811.0,871.0,1633.0,763.0,1851.0,338.0,750.0,3451.0,81.0,5542.0,327.0,900.0,1049.0,115.0,956.0,518.0,789.0,1730.0
Eubacterium rectale,1650.0,435.0,1183.0,417.0,1273.0,1043.0,220.0,39.0,1283.0,1128.0,884.0,366.0,846.0,109.0,427.0,423.0,198.0,745.0,230.0,337.0,1036.0,1133.0,437.0,129.0,319.0,24.0,219.0,170.0,215.0,1444.0,586.0,933.0,689.0,1787.0,97.0,257.0,586.0,1370.0,2680.0,539.0,732.0,885.0,1572.0,2038.0,210.0,819.0,440.0,618.0,628.0,2160.0,1042.0,1932.0,805.0,943.0,303.0,868.0,1867.0,793.0,163.0,133.0,639.0,23.0,2049.0,321.0,263.0,584.0,37.0,1100.0,677.0,464.0,993.0
Bacteroides thetaiotaomicron,1527.0,1947.0,1712.0,20.0,1447.0,345.0,2.0,703.0,288.0,209.0,1182.0,143.0,66.0,245.0,808.0,62.0,531.0,7.0,933.0,352.0,204.0,910.0,903.0,74.0,143.0,325.0,492.0,37.0,91.0,266.0,435.0,1291.0,1084.0,136.0,172.0,91.0,3165.0,1221.0,114.0,5.0,459.0,20.0,1161.0,470.0,21.0,30.0,235.0,1266.0,38.0,463.0,149.0,626.0,867.0,395.0,43.0,86.0,1999.0,429.0,272.0,112.0,321.0,310.0,798.0,834.0,251.0,3.0,67.0,36.0,1.0,1.0,477.0
Alistipes finegoldii,1160.0,321.0,1783.0,76.0,1525.0,530.0,5.0,467.0,1889.0,579.0,2652.0,38.0,947.0,193.0,3100.0,95.0,1409.0,1076.0,185.0,175.0,472.0,814.0,377.0,328.0,1501.0,299.0,388.0,181.0,27.0,1596.0,1516.0,22.0,1956.0,370.0,327.0,1258.0,1776.0,2099.0,867.0,137.0,1146.0,760.0,1973.0,1385.0,142.0,83.0,1566.0,300.0,86.0,66.0,1648.0,1737.0,1111.0,573.0,82.0,391.0,1183.0,2082.0,311.0,650.0,1796.0,140.0,1729.0,177.0,1112.0,214.0,38.0,313.0,133.0,4.0,1095.0
Bacteroides acidifaciens,991.0,631.0,249.0,4.0,182.0,1217.0,0.0,461.0,506.0,866.0,49.0,137.0,847.0,1249.0,78.0,11.0,182.0,2193.0,28.0,229.0,1013.0,301.0,34.0,1.0,29.0,224.0,50.0,328.0,30.0,614.0,23.0,1602.0,906.0,60.0,122.0,1913.0,11.0,169.0,932.0,65.0,596.0,724.0,363.0,1100.0,70.0,31.0,82.0,355.0,36.0,159.0,55.0,605.0,285.0,287.0,5.0,1484.0,1262.0,164.0,120.0,19.0,633.0,1253.0,1613.0,1215.0,128.0,35.0,105.0,284.0,200.0,3.0,32.0
uncultured bacterium,924.0,1632.0,1646.0,2182.0,960.0,1692.0,278.0,2743.0,782.0,2261.0,1680.0,5595.0,789.0,1142.0,531.0,223.0,2890.0,1684.0,590.0,1232.0,863.0,1282.0,203.0,230.0,1103.0,743.0,705.0,199.0,334.0,673.0,997.0,1752.0,1402.0,1427.0,109.0,1645.0,2429.0,506.0,779.0,557.0,244.0,671.0,675.0,6981.0,37.0,754.0,2295.0,138.0,3505.0,1397.0,1944.0,1471.0,1623.0,1084.0,575.0,2389.0,600.0,516.0,128.0,831.0,376.0,126.0,389.0,743.0,3890.0,567.0,768.0,693.0,349.0,690.0,266.0
Bacteroides uniformis,849.0,979.0,1640.0,4.0,1622.0,106.0,1.0,4869.0,2554.0,35.0,1346.0,1722.0,1427.0,1074.0,2059.0,28.0,6165.0,799.0,131.0,701.0,332.0,1093.0,1603.0,52.0,418.0,1909.0,4286.0,244.0,473.0,882.0,1453.0,457.0,861.0,304.0,647.0,536.0,1160.0,2904.0,112.0,17.0,2183.0,340.0,2745.0,772.0,705.0,53.0,632.0,343.0,69.0,4239.0,1785.0,939.0,3038.0,472.0,42.0,794.0,178.0,3798.0,5523.0,290.0,4166.0,3157.0,3676.0,1468.0,4147.0,23.0,691.0,1022.0,487.0,522.0,2004.0
Blautia sp. Ser8,805.0,1160.0,836.0,250.0,469.0,466.0,153.0,106.0,570.0,248.0,655.0,2160.0,591.0,423.0,803.0,165.0,109.0,381.0,280.0,341.0,183.0,379.0,386.0,370.0,627.0,63.0,217.0,268.0,201.0,540.0,538.0,649.0,719.0,1267.0,257.0,509.0,1216.0,535.0,1643.0,415.0,157.0,389.0,659.0,390.0,90.0,190.0,449.0,142.0,258.0,1449.0,873.0,683.0,1063.0,713.0,124.0,426.0,257.0,463.0,108.0,247.0,1693.0,29.0,677.0,193.0,421.0,123.0,578.0,570.0,353.0,373.0,414.0
Bacteroides fragilis,640.0,0.0,45.0,0.0,279.0,0.0,0.0,0.0,0.0,0.0,259.0,43.0,104.0,44.0,26.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,319.0,6.0,0.0,0.0,0.0,0.0,0.0,50.0,39.0,227.0,4.0,0.0,39.0,0.0,0.0,465.0,0.0,0.0,6.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,2.0,0.0,0.0,0.0,25.0
