Group,Sample
PRE,mgm4538328.3
PRE,mgm4538330.3
PRE,mgm4538353.3
PRE,mgm4538356.3
PRE,mgm4538370.3
PRE,mgm4538377.3
PRE,mgm4538394.3
PRE,mgm4538413.3
PRE,mgm4538416.3
PRE,mgm4538429.3
PRE,mgm4538432.3
PRE,mgm4538433.3
PRE,mgm4538434.3
PRE,mgm4538451.3
PRE,mgm4538453.3
PRE,mgm4538456.3
PRE,mgm4538460.3
PRE,mgm4538469.3
PRE,mgm4538476.3
PRE,mgm4538478.3
PRE,mgm4538483.3
PRE,mgm4538484.3
PRE,mgm4538489.3
PRE,mgm4538494.3
PRE,mgm4538495.3
PRE,mgm4538499.3
PRE,mgm4538502.3
PRE,mgm4538505.3
PRE,mgm4538506.3
PRE,mgm4538511.3
PRE,mgm4538512.3
POST,mgm4538326.3
POST,mgm4538336.3
POST,mgm4538347.3
POST,mgm4538354.3
POST,mgm4538357.3
POST,mgm4538359.3
POST,mgm4538368.3
POST,mgm4538371.3
POST,mgm4538379.3
POST,mgm4538389.3
POST,mgm4538408.3
POST,mgm4538410.3
POST,mgm4538412.3
POST,mgm4538417.3
POST,mgm4538431.3
POST,mgm4538444.3
POST,mgm4538449.3
POST,mgm4538452.3
POST,mgm4538465.3
POST,mgm4538475.3
POST,mgm4538480.3
POST,mgm4538481.3
POST,mgm4538482.3
POST,mgm4538485.3
POST,mgm4538490.3
POST,mgm4538491.3
POST,mgm4538492.3
POST,mgm4538493.3
POST,mgm4538496.3
POST,mgm4538498.3
POST,mgm4538500.3
POST,mgm4538501.3
POST,mgm4538503.3
POST,mgm4538504.3
POST,mgm4538507.3
POST,mgm4538508.3
POST,mgm4538510.3
POST,mgm4538514.3
POST,mgm4538515.3
