Group,Sample
PRE,mgm4538190.3
PRE,mgm4538200.3
PRE,mgm4538206.3
PRE,mgm4538209.3
PRE,mgm4538217.3
PRE,mgm4538220.3
PRE,mgm4538228.3
PRE,mgm4538232.3
PRE,mgm4538234.3
PRE,mgm4538238.3
PRE,mgm4538253.3
PRE,mgm4538260.3
PRE,mgm4538263.3
PRE,mgm4538265.3
PRE,mgm4538268.3
PRE,mgm4538269.3
PRE,mgm4538271.3
PRE,mgm4538273.3
PRE,mgm4538275.3
PRE,mgm4538287.3
PRE,mgm4538288.3
PRE,mgm4538290.3
PRE,mgm4538292.3
PRE,mgm4538293.3
PRE,mgm4538294.3
PRE,mgm4538303.3
PRE,mgm4538306.3
PRE,mgm4538317.3
PRE,mgm4538318.3
POST,mgm4538196.3
POST,mgm4538199.3
POST,mgm4538201.3
POST,mgm4538202.3
POST,mgm4538203.3
POST,mgm4538204.3
POST,mgm4538205.3
POST,mgm4538207.3
POST,mgm4538208.3
POST,mgm4538210.3
POST,mgm4538211.3
POST,mgm4538212.3
POST,mgm4538213.3
POST,mgm4538218.3
POST,mgm4538224.3
POST,mgm4538226.3
POST,mgm4538227.3
POST,mgm4538230.3
POST,mgm4538233.3
POST,mgm4538235.3
POST,mgm4538243.3
POST,mgm4538251.3
POST,mgm4538254.3
POST,mgm4538255.3
POST,mgm4538256.3
POST,mgm4538257.3
POST,mgm4538258.3
POST,mgm4538259.3
POST,mgm4538264.3
POST,mgm4538266.3
POST,mgm4538267.3
POST,mgm4538274.3
POST,mgm4538276.3
POST,mgm4538285.3
POST,mgm4538289.3
POST,mgm4538295.3
POST,mgm4538300.3
POST,mgm4538308.3
POST,mgm4538310.3
POST,mgm4538313.3
POST,mgm4538322.3
POST,mgm4538324.3
